                                     | Core 0    
  Instructions                       |  280947350
  Cycles                             |  623446314
  IPC                                |       0.45
  Time (ns)                          |  234378314
  Idle time (ns)                     |      55265
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   11821991
  num incorrect                      |     103812
  misprediction rate                 |      0.87%
  mpki                               |       0.37
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   25245593
    num misses                       |         74
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69345736
    num misses                       |      62386
    miss rate                        |      0.09%
    mpki                             |       0.22
  L2 TLB                             |           
    num accesses                     |      62460
    num misses                       |       9026
    miss rate                        |     14.45%
    mpki                             |       0.03
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   25245593
    num cache misses                 |      70719
    miss rate                        |      0.28%
    mpki                             |       0.25
  Cache L1-D                         |           
    num cache accesses               |   69346386
    num cache misses                 |    1024782
    miss rate                        |      1.48%
    mpki                             |       3.65
  Cache L2                           |           
    num cache accesses               |    1109423
    num cache misses                 |     602232
    miss rate                        |     54.28%
    mpki                             |       2.14
  Cache L3                           |           
    num cache accesses               |     616154
    num cache misses                 |      30348
    miss rate                        |      4.93%
    mpki                             |       0.11
DRAM summary                         |           
  num dram accesses                  |      30348
  average dram access latency (ns)   |      54.30
  average dram queueing delay        |       0.87
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      21939
  num loads from dram cache          |          0
  num loads from remote cache        |          0
