                                     | Core 0    
  Instructions                       |  280947340
  Cycles                             |  227946874
  IPC                                |       1.23
  Time (ns)                          |   85694314
  Idle time (ns)                     |      45255
  Idle time (%)                      |       0.1%
Branch predictor stats               |           
  num correct                        |   11821116
  num incorrect                      |     104687
  misprediction rate                 |      0.88%
  mpki                               |       0.37
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   25245593
    num misses                       |         80
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69345713
    num misses                       |      62729
    miss rate                        |      0.09%
    mpki                             |       0.22
  L2 TLB                             |           
    num accesses                     |      62809
    num misses                       |       8590
    miss rate                        |     13.68%
    mpki                             |       0.03
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   25245593
    num cache misses                 |      70907
    miss rate                        |      0.28%
    mpki                             |       0.25
  Cache L1-D                         |           
    num cache accesses               |   69346363
    num cache misses                 |    1025488
    miss rate                        |      1.48%
    mpki                             |       3.65
  Cache L2                           |           
    num cache accesses               |    1110317
    num cache misses                 |     603578
    miss rate                        |     54.36%
    mpki                             |       2.15
  Cache L3                           |           
    num cache accesses               |     617500
    num cache misses                 |      30348
    miss rate                        |      4.91%
    mpki                             |       0.11
DRAM summary                         |           
  num dram accesses                  |      30348
  average dram access latency (ns)   |      56.31
  average dram queueing delay        |       2.88
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      21930
  num loads from dram cache          |          0
  num loads from remote cache        |          0
