                                     | Core 0    
  Instructions                       |  122506466
  Cycles                             |  303111081
  IPC                                |       0.40
  Time (ns)                          |  113951535
  Idle time (ns)                     |       1990
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   11182544
  num incorrect                      |    1107968
  misprediction rate                 |      9.01%
  mpki                               |       9.04
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   13594168
    num misses                       |        213
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   39253896
    num misses                       |     161145
    miss rate                        |      0.41%
    mpki                             |       1.32
  L2 TLB                             |           
    num accesses                     |     161358
    num misses                       |       4158
    miss rate                        |      2.58%
    mpki                             |       0.03
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   13594168
    num cache misses                 |      12184
    miss rate                        |      0.09%
    mpki                             |       0.10
  Cache L1-D                         |           
    num cache accesses               |   39254128
    num cache misses                 |     959809
    miss rate                        |      2.45%
    mpki                             |       7.83
  Cache L2                           |           
    num cache accesses               |     984704
    num cache misses                 |     408582
    miss rate                        |     41.49%
    mpki                             |       3.34
  Cache L3                           |           
    num cache accesses               |     421353
    num cache misses                 |      46718
    miss rate                        |     11.09%
    mpki                             |       0.38
DRAM summary                         |           
  num dram accesses                  |      46718
  average dram access latency (ns)   |     588.40
  average dram queueing delay        |     534.97
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      22023
  num loads from dram cache          |          0
  num loads from remote cache        |          0
