                                     | Core 0    
  Instructions                       |  269872318
  Cycles                             |  670643091
  IPC                                |       0.40
  Time (ns)                          |  252121463
  Idle time (ns)                     |      20649
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   30522621
  num incorrect                      |    3246482
  misprediction rate                 |      9.61%
  mpki                               |      12.03
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   33690656
    num misses                       |          6
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69635961
    num misses                       |      27465
    miss rate                        |      0.04%
    mpki                             |       0.10
  L2 TLB                             |           
    num accesses                     |      27471
    num misses                       |      19415
    miss rate                        |     70.67%
    mpki                             |       0.07
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   33690656
    num cache misses                 |       1808
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   69635961
    num cache misses                 |     431258
    miss rate                        |      0.62%
    mpki                             |       1.60
  Cache L2                           |           
    num cache accesses               |     436647
    num cache misses                 |     303093
    miss rate                        |     69.41%
    mpki                             |       1.12
  Cache L3                           |           
    num cache accesses               |     306674
    num cache misses                 |      28667
    miss rate                        |      9.35%
    mpki                             |       0.11
DRAM summary                         |           
  num dram accesses                  |      30704
  average dram access latency (ns)   |     143.96
  average dram queueing delay        |      90.53
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      12470
  num loads from dram cache          |          0
  num loads from remote cache        |          0
