                                     | Core 0    
  Instructions                       |  269872289
  Cycles                             |  266160831
  IPC                                |       1.01
  Time (ns)                          |  100060463
  Idle time (ns)                     |      20716
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   30522778
  num incorrect                      |    3246325
  misprediction rate                 |      9.61%
  mpki                               |      12.03
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   33690656
    num misses                       |          6
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69635961
    num misses                       |      24333
    miss rate                        |      0.03%
    mpki                             |       0.09
  L2 TLB                             |           
    num accesses                     |      24339
    num misses                       |      19444
    miss rate                        |     79.89%
    mpki                             |       0.07
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   33690656
    num cache misses                 |       1819
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   69635961
    num cache misses                 |     430519
    miss rate                        |      0.62%
    mpki                             |       1.60
  Cache L2                           |           
    num cache accesses               |     435920
    num cache misses                 |     303060
    miss rate                        |     69.52%
    mpki                             |       1.12
  Cache L3                           |           
    num cache accesses               |     306642
    num cache misses                 |      28246
    miss rate                        |      9.21%
    mpki                             |       0.10
DRAM summary                         |           
  num dram accesses                  |      29856
  average dram access latency (ns)   |     279.26
  average dram queueing delay        |     225.83
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      12461
  num loads from dram cache          |          0
  num loads from remote cache        |          0
