                                     | Core 0    
  Instructions                       |   36712725
  Cycles                             |   69488939
  IPC                                |       0.53
  Time (ns)                          |   26123662
  Idle time (ns)                     |      40010
  Idle time (%)                      |       0.2%
Branch predictor stats               |           
  num correct                        |    6511225
  num incorrect                      |     828841
  misprediction rate                 |     11.29%
  mpki                               |      22.58
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    4781099
    num misses                       |         22
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   13000855
    num misses                       |       5828
    miss rate                        |      0.04%
    mpki                             |       0.16
  L2 TLB                             |           
    num accesses                     |       5850
    num misses                       |       1659
    miss rate                        |     28.36%
    mpki                             |       0.05
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    4781099
    num cache misses                 |       2616
    miss rate                        |      0.05%
    mpki                             |       0.07
  Cache L1-D                         |           
    num cache accesses               |   13000879
    num cache misses                 |     136575
    miss rate                        |      1.05%
    mpki                             |       3.72
  Cache L2                           |           
    num cache accesses               |     147582
    num cache misses                 |     103120
    miss rate                        |     69.87%
    mpki                             |       2.81
  Cache L3                           |           
    num cache accesses               |     111511
    num cache misses                 |      57096
    miss rate                        |     51.20%
    mpki                             |       1.56
DRAM summary                         |           
  num dram accesses                  |      57096
  average dram access latency (ns)   |      53.63
  average dram queueing delay        |       0.20
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |      14340
  num loads from dram cache          |          0
  num loads from remote cache        |          0
