                                     | Core 0    
  Instructions                       |   12592028
  Cycles                             |   35536841
  IPC                                |       0.35
  Time (ns)                          |   13359715
  Idle time (ns)                     |      96205
  Idle time (%)                      |       0.7%
Branch predictor stats               |           
  num correct                        |     104653
  num incorrect                      |      12646
  misprediction rate                 |     10.78%
  mpki                               |       1.00
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1091176
    num misses                       |         20
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |    6522728
    num misses                       |       2424
    miss rate                        |      0.04%
    mpki                             |       0.19
  L2 TLB                             |           
    num accesses                     |       2444
    num misses                       |       1028
    miss rate                        |     42.06%
    mpki                             |       0.08
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1091176
    num cache misses                 |       1425
    miss rate                        |      0.13%
    mpki                             |       0.11
  Cache L1-D                         |           
    num cache accesses               |    6522734
    num cache misses                 |      11336
    miss rate                        |      0.17%
    mpki                             |       0.90
  Cache L2                           |           
    num cache accesses               |      12767
    num cache misses                 |      10620
    miss rate                        |     83.18%
    mpki                             |       0.84
  Cache L3                           |           
    num cache accesses               |      10626
    num cache misses                 |        887
    miss rate                        |      8.35%
    mpki                             |       0.07
DRAM summary                         |           
  num dram accesses                  |       1770
  average dram access latency (ns)   |      54.26
  average dram queueing delay        |       0.83
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |        116
  num loads from dram cache          |          0
  num loads from remote cache        |          0
