                                     | Core 0    
  Instructions                       |    1155250
  Cycles                             |    1043132
  IPC                                |       1.11
  Time (ns)                          |     392155
  Idle time (ns)                     |      41798
  Idle time (%)                      |      10.7%
Branch predictor stats               |           
  num correct                        |     187496
  num incorrect                      |       8862
  misprediction rate                 |      4.51%
  mpki                               |       7.67
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     176013
    num misses                       |         25
    miss rate                        |      0.01%
    mpki                             |       0.02
  D-TLB                              |           
    num accesses                     |     363356
    num misses                       |         70
    miss rate                        |      0.02%
    mpki                             |       0.06
  L2 TLB                             |           
    num accesses                     |         95
    num misses                       |         43
    miss rate                        |     45.26%
    mpki                             |       0.04
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     176013
    num cache misses                 |        767
    miss rate                        |      0.44%
    mpki                             |       0.66
  Cache L1-D                         |           
    num cache accesses               |     363386
    num cache misses                 |        295
    miss rate                        |      0.08%
    mpki                             |       0.26
  Cache L2                           |           
    num cache accesses               |       1073
    num cache misses                 |        823
    miss rate                        |     76.70%
    mpki                             |       0.71
  Cache L3                           |           
    num cache accesses               |        834
    num cache misses                 |        740
    miss rate                        |     88.73%
    mpki                             |       0.64
DRAM summary                         |           
  num dram accesses                  |        740
  average dram access latency (ns)   |      59.53
  average dram queueing delay        |       6.10
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |         71
  num loads from dram cache          |          0
  num loads from remote cache        |          0
