                                     | Core 0    
  Instructions                       |    2224351
  Cycles                             |    3274746
  IPC                                |       0.68
  Time (ns)                          |    1231108
  Idle time (ns)                     |      40496
  Idle time (%)                      |       3.3%
Branch predictor stats               |           
  num correct                        |     218361
  num incorrect                      |       9245
  misprediction rate                 |      4.06%
  mpki                               |       4.16
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     302844
    num misses                       |         11
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |     807121
    num misses                       |         80
    miss rate                        |      0.01%
    mpki                             |       0.04
  L2 TLB                             |           
    num accesses                     |         91
    num misses                       |         40
    miss rate                        |     43.96%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     302844
    num cache misses                 |        423
    miss rate                        |      0.14%
    mpki                             |       0.19
  Cache L1-D                         |           
    num cache accesses               |     807321
    num cache misses                 |       9593
    miss rate                        |      1.19%
    mpki                             |       4.31
  Cache L2                           |           
    num cache accesses               |      10197
    num cache misses                 |       1913
    miss rate                        |     18.76%
    mpki                             |       0.86
  Cache L3                           |           
    num cache accesses               |       2098
    num cache misses                 |       1847
    miss rate                        |     88.04%
    mpki                             |       0.83
DRAM summary                         |           
  num dram accesses                  |       1847
  average dram access latency (ns)   |     133.89
  average dram queueing delay        |      80.46
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |        596
  num loads from dram cache          |          0
  num loads from remote cache        |          0
