                                     | Core 0    
  Instructions                       |    2224296
  Cycles                             |    2262616
  IPC                                |       0.98
  Time (ns)                          |     850608
  Idle time (ns)                     |      40492
  Idle time (%)                      |       4.8%
Branch predictor stats               |           
  num correct                        |     218389
  num incorrect                      |       9213
  misprediction rate                 |      4.05%
  mpki                               |       4.14
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     302839
    num misses                       |         11
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |     807109
    num misses                       |         59
    miss rate                        |      0.01%
    mpki                             |       0.03
  L2 TLB                             |           
    num accesses                     |         70
    num misses                       |         41
    miss rate                        |     58.57%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     302839
    num cache misses                 |        459
    miss rate                        |      0.15%
    mpki                             |       0.21
  Cache L1-D                         |           
    num cache accesses               |     807309
    num cache misses                 |       9638
    miss rate                        |      1.19%
    mpki                             |       4.33
  Cache L2                           |           
    num cache accesses               |      10278
    num cache misses                 |       1900
    miss rate                        |     18.49%
    mpki                             |       0.85
  Cache L3                           |           
    num cache accesses               |       2085
    num cache misses                 |       1847
    miss rate                        |     88.59%
    mpki                             |       0.83
DRAM summary                         |           
  num dram accesses                  |       1847
  average dram access latency (ns)   |     153.81
  average dram queueing delay        |     100.38
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |        596
  num loads from dram cache          |          0
  num loads from remote cache        |          0
